web_scraper_order,web_scraper_start_url,title,image
"1772214569-1","https://dribbble.com/shots/popular/mobile","Skincare eCommerce Mobile App UI","https://cdn.dribbble.com/userupload/46890418/file/5c4f1a4560edc5f65cb639f986392c7c.png?format=webp&resize=1200x900&vertical=center"
"1772214569-2","https://dribbble.com/shots/popular/mobile","Travel Planner App Design Concept","https://cdn.dribbble.com/userupload/46838642/file/1285fa327391dc3cb31d39bde7932818.png?format=webp&resize=1200x900&vertical=center"
"1772214569-3","https://dribbble.com/shots/popular/mobile","E-Com Mobile iOS App Design","https://cdn.dribbble.com/userupload/46888654/file/still-a6f9de6a4ea59ae05a3b21181e18a1b6.png?format=webp&resize=800x600&vertical=center"
"1772214569-4","https://dribbble.com/shots/popular/mobile","Fintech Design | Banking Design | NeoBank | App Design Concept","https://cdn.dribbble.com/userupload/46885934/file/still-6bf0608c101b51772de251450fa8edfa.png?format=webp&resize=1200x900&vertical=center"
"1772214569-5","https://dribbble.com/shots/popular/mobile","Task Management Mobile App","https://cdn.dribbble.com/userupload/46880989/file/6b5f642df085c9bd73394cff60f5dede.jpg?format=webp&resize=1200x900&vertical=center"
"1772214569-6","https://dribbble.com/shots/popular/mobile","Student Management System Mobile App  – Navify","https://cdn.dribbble.com/userupload/46894052/file/still-2676bb7ad901785f49336bb279322625.png?format=webp&resize=1200x900&vertical=center"
"1772214569-7","https://dribbble.com/shots/popular/mobile","Design, deploy, and manage AI agents and intelligent workflows","https://cdn.dribbble.com/userupload/46882986/file/54602378f5f30c117bbe0388132ce6d4.png?format=webp&resize=1200x900&vertical=center"
"1772214569-8","https://dribbble.com/shots/popular/mobile","Personal Finance App","https://cdn.dribbble.com/userupload/46886351/file/still-62197a6b28e78c5bb3241de935ea3723.png?format=webp&resize=1200x900&vertical=center"
"1772214569-9","https://dribbble.com/shots/popular/mobile","Tresor – Investment App – Stock Buying","https://cdn.dribbble.com/userupload/46886878/file/still-4ffc3613c5940db72bf6422bddf71bbf.png?format=webp&resize=1200x900&vertical=center"
"1772214569-10","https://dribbble.com/shots/popular/mobile","Sunglasses - Mobile app","https://cdn.dribbble.com/userupload/46886861/file/2f5b539b29ce70bfbc6c185ff3ceffb8.png?format=webp&resize=1200x900&vertical=center"
"1772214569-11","https://dribbble.com/shots/popular/mobile","HR Management Platform","https://cdn.dribbble.com/userupload/46883875/file/8594ee11e906f32ff347e8c2565f968b.png?format=webp&resize=1200x900&vertical=center"
"1772214569-12","https://dribbble.com/shots/popular/mobile","Social Media App Concept","https://cdn.dribbble.com/userupload/46888290/file/0b65639b01c40dc9995f897f8c392c78.png?format=webp&resize=1200x900&vertical=center"
"1772214569-13","https://dribbble.com/shots/popular/mobile","Barber & Salon Mobile App UI/UX Design","https://cdn.dribbble.com/userupload/46796525/file/8257422954272a126fca3de5f29c0af3.png?format=webp&resize=1200x900&vertical=center"
"1772214569-14","https://dribbble.com/shots/popular/mobile","Music Streaming Mobile App UI Design","https://cdn.dribbble.com/userupload/46893609/file/e392f4fd231acc13178c07d380c9ed37.png?format=webp&resize=1200x900&vertical=center"
"1772214569-15","https://dribbble.com/shots/popular/mobile","Subscription Tracker App","https://cdn.dribbble.com/userupload/46883208/file/f81c037d3da5985c7c7b4d9758a8a7cd.webp?format=webp&resize=800x600&vertical=center"
"1772214569-16","https://dribbble.com/shots/popular/mobile","Food Delivery Mobile App","https://cdn.dribbble.com/userupload/46887956/file/6ae479448413a453045a441b33ca301a.png?format=webp&resize=1200x900&vertical=center"
"1772214569-17","https://dribbble.com/shots/popular/mobile","Basketball Live Streaming Dashboard — UI Design","https://cdn.dribbble.com/userupload/46888318/file/948984b69c328ed4292e6e75184c33ec.png?format=webp&resize=1200x900&vertical=center"
"1772214569-18","https://dribbble.com/shots/popular/mobile","LuxLens – Designer Sunglasses Store App","https://cdn.dribbble.com/userupload/46888025/file/81de0103a71e8bb564e6ab4b14ea203f.png?format=webp&resize=1200x900&vertical=center"
"1772214569-19","https://dribbble.com/shots/popular/mobile","Register luggage","https://cdn.dribbble.com/userupload/46893291/file/still-b7579c138967388419e6f78ca9560017.png?format=webp&resize=800x600&vertical=center"
"1772214569-20","https://dribbble.com/shots/popular/mobile","Motorcycle Helmet Store Mobile App UI","https://cdn.dribbble.com/userupload/46890720/file/e82aae1554d2acf33ca2c5702391ce42.png?format=webp&resize=1200x900&vertical=center"
"1772214569-21","https://dribbble.com/shots/popular/mobile","Modern HealthTech App Design – Booking, Packages & Smart Checkup","https://cdn.dribbble.com/userupload/46880984/file/2df366c8bce6ef4c75012171aad2a721.png?format=webp&resize=1200x900&vertical=center"
"1772214569-22","https://dribbble.com/shots/popular/mobile","Children’s Learning Mobile App Design","https://cdn.dribbble.com/userupload/46855695/file/9aba934193862b24afcd179b3e29bf77.png?format=webp&resize=1200x900&vertical=center"
"1772214569-23","https://dribbble.com/shots/popular/mobile","Glimpse  - Responsive Mobile View","https://cdn.dribbble.com/userupload/46877665/file/fdb9340abacc5131e7d5122381f19dd9.png?crop=0x0-3201x2401&format=webp&resize=1200x900&vertical=center"
"1772214569-24","https://dribbble.com/shots/popular/mobile","Onda Retreat Mobile – Travel Booking Platform","https://cdn.dribbble.com/userupload/46873187/file/e9a9443ac05e42be75269b21ff1eff04.png?crop=0x0-4788x3599&format=webp&resize=1200x900&vertical=center"
"1772214569-25","https://dribbble.com/shots/popular/mobile","eSIM App Design","https://cdn.dribbble.com/userupload/46879866/file/10757c14106b80bd25f3cfd9b41f5563.png?format=webp&resize=1200x900&vertical=center"
"1772214569-26","https://dribbble.com/shots/popular/mobile","Crypto Wallet Mobile App: Portfolio & Deposit Module","https://cdn.dribbble.com/userupload/46886458/file/ff05a6ec4996065b2e1fc0e514436618.png?format=webp&resize=1200x900&vertical=center"
"1772214569-27","https://dribbble.com/shots/popular/mobile","AI Mobile iOS App Design","https://cdn.dribbble.com/userupload/46875403/file/still-6753fc5dfaa12460d11db3e34bf6bd14.png?format=webp&resize=800x600&vertical=center"
