web_scraper_order,web_scraper_start_url,data,image
"1772174197-1","https://www.awwwards.com/websites/sites_of_the_day/","Cathy DOLLE Portfolio","https://assets.awwwards.com/awards/media/cache/thumb_880_660/submissions/2026/01/6963793cb9496468801741.png"
"1772174197-2","https://www.awwwards.com/websites/sites_of_the_day/","1820 Productions","https://assets.awwwards.com/awards/media/cache/thumb_880_660/submissions/2026/01/69694a8a413da647595795.png"
"1772174197-3","https://www.awwwards.com/websites/sites_of_the_day/","Studio Dado","https://assets.awwwards.com/awards/media/cache/thumb_880_660/submissions/2026/02/69a01956b8d34010634085.png"
"1772174197-4","https://www.awwwards.com/websites/sites_of_the_day/","Dulcedo","https://assets.awwwards.com/awards/media/cache/thumb_880_660/submissions/2026/01/696a862574b2f602725208.jpg"
"1772174197-5","https://www.awwwards.com/websites/sites_of_the_day/","OceanX 2025","https://assets.awwwards.com/awards/media/cache/thumb_880_660/submissions/2026/01/696fad7d0de30397552248.jpg"
"1772174197-6","https://www.awwwards.com/websites/sites_of_the_day/","D2C Life Science","https://assets.awwwards.com/awards/media/cache/thumb_880_660/submissions/2026/01/696f6ad2419c2857485128.jpg"
"1772174197-7","https://www.awwwards.com/websites/sites_of_the_day/","Voku.Studio™","https://assets.awwwards.com/awards/media/cache/thumb_880_660/submissions/2026/01/69691655026f8597146371.jpg"
"1772174197-8","https://www.awwwards.com/websites/sites_of_the_day/","Vibrant Wellness","https://assets.awwwards.com/awards/media/cache/thumb_880_660/submissions/2026/01/6965768d65813624641902.png"
"1772174197-9","https://www.awwwards.com/websites/sites_of_the_day/","Farm Minerals","https://assets.awwwards.com/awards/media/cache/thumb_880_660/submissions/2026/01/696a1aa7e7f0a650667490.png"
"1772174197-10","https://www.awwwards.com/websites/sites_of_the_day/","Studio Dialect","https://assets.awwwards.com/awards/media/cache/thumb_880_660/submissions/2026/01/69737a0364775700561882.png"
"1772174197-11","https://www.awwwards.com/websites/sites_of_the_day/","MOB LINKS","https://assets.awwwards.com/awards/media/cache/thumb_880_660/submissions/2026/01/697097a411305078004827.png"
"1772174197-12","https://www.awwwards.com/websites/sites_of_the_day/","Telha Clarke","https://assets.awwwards.com/awards/media/cache/thumb_880_660/submissions/2026/01/6964b60076436116585408.jpg"
"1772174197-13","https://www.awwwards.com/websites/sites_of_the_day/","Lightweight","https://assets.awwwards.com/awards/media/cache/thumb_880_660/submissions/2025/09/68cfc8c72e860432105084.png"
"1772174197-14","https://www.awwwards.com/websites/sites_of_the_day/","Damn Good Brands","https://assets.awwwards.com/awards/media/cache/thumb_880_660/submissions/2026/01/6966624cd3286626240766.jpg"
"1772174197-15","https://www.awwwards.com/websites/sites_of_the_day/","VALIENTE","https://assets.awwwards.com/awards/media/cache/thumb_880_660/submissions/2026/01/69611c3df2030539808361.png"
"1772174197-16","https://www.awwwards.com/websites/sites_of_the_day/","Art Here 2025 - Richard Mille","https://assets.awwwards.com/awards/media/cache/thumb_880_660/submissions/2026/01/695e99562d372908427228.png"
"1772174197-17","https://www.awwwards.com/websites/sites_of_the_day/","Emilie Aubry","https://assets.awwwards.com/awards/media/cache/thumb_880_660/submissions/2026/01/6960cab495d94051463574.jpg"
"1772174197-18","https://www.awwwards.com/websites/sites_of_the_day/","SILEENT","https://assets.awwwards.com/awards/media/cache/thumb_880_660/submissions/2026/01/695fb9032894a562447524.jpg"
"1772174197-19","https://www.awwwards.com/websites/sites_of_the_day/","The Renaissance Edition","https://assets.awwwards.com/awards/media/cache/thumb_880_660/submissions/2025/12/6940bd028333f875677215.jpg"
"1772174197-20","https://www.awwwards.com/websites/sites_of_the_day/","Nicola Romei™","https://assets.awwwards.com/awards/media/cache/thumb_880_660/submissions/2025/12/6952b2102ac5b807416472.png"
"1772174197-21","https://www.awwwards.com/websites/sites_of_the_day/","Nfinite","https://assets.awwwards.com/awards/media/cache/thumb_880_660/submissions/2025/12/695399dd7314a270512533.png"
"1772174197-22","https://www.awwwards.com/websites/sites_of_the_day/","Ciridae","https://assets.awwwards.com/awards/media/cache/thumb_880_660/submissions/2026/01/695ee7348d776229883990.png"
"1772174197-23","https://www.awwwards.com/websites/sites_of_the_day/","Aramco - Shoot For The Future","https://assets.awwwards.com/awards/media/cache/thumb_880_660/submissions/2026/01/695d1c22eaaf4706699125.jpg"
"1772174197-24","https://www.awwwards.com/websites/sites_of_the_day/","Explore Primland","https://assets.awwwards.com/awards/media/cache/thumb_880_660/submissions/2026/01/695bcba95e088010113338.jpg"
"1772174197-25","https://www.awwwards.com/websites/sites_of_the_day/","©Design by Dylan","https://assets.awwwards.com/awards/media/cache/thumb_880_660/submissions/2025/12/694a72af031be416942187.png"
"1772174197-26","https://www.awwwards.com/websites/sites_of_the_day/","Ethan & Tom","https://assets.awwwards.com/awards/media/cache/thumb_880_660/submissions/2025/12/69483ba80dbc2614118977.jpg"
"1772174197-27","https://www.awwwards.com/websites/sites_of_the_day/","Mouthful of Dust","https://assets.awwwards.com/awards/media/cache/thumb_880_660/submissions/2025/12/6937ebc42b391570205473.jpg"
"1772174197-28","https://www.awwwards.com/websites/sites_of_the_day/","Yucca Packaging","https://assets.awwwards.com/awards/media/cache/thumb_880_660/submissions/2025/11/69289aa78288b380389702.jpg"
"1772174197-29","https://www.awwwards.com/websites/sites_of_the_day/","Pedestal","https://assets.awwwards.com/awards/media/cache/thumb_880_660/submissions/2025/12/693a9812a58f3482328022.jpg"
"1772174197-30","https://www.awwwards.com/websites/sites_of_the_day/","FOLLOW.ART","https://assets.awwwards.com/awards/media/cache/thumb_880_660/submissions/2025/12/6944051c25309510743455.jpg"
"1772174197-31","https://www.awwwards.com/websites/sites_of_the_day/","Sleep Well Creative","https://assets.awwwards.com/awards/media/cache/thumb_880_660/submissions/2025/12/694c60cd10c42285051480.png"
