web_scraper_order,web_scraper_start_url,title,image
"1772174255-1","https://www.behance.net/search/projects/ui%20design?tracking_source=typeahead_search_direct","Education app design | UX/UI","https://mir-s3-cdn-cf.behance.net/projects/404/ee3c2b181095369.Y3JvcCw0MDg2LDMxOTYsNjAsMA.png"
"1772174255-2","https://www.behance.net/search/projects/ui%20design?tracking_source=typeahead_search_direct","ABC app | UX / UI","https://mir-s3-cdn-cf.behance.net/projects/404/5fa7e5196137615.Y3JvcCwzMjMyLDI1MjgsMCww.png"
"1772174255-3","https://www.behance.net/search/projects/ui%20design?tracking_source=typeahead_search_direct","OCTO SMM AGENCY WEBSITE","https://mir-s3-cdn-cf.behance.net/projects/404/f8f9e1227442435.Y3JvcCwxMzgwLDEwODAsODgsMA.png"
"1772174255-4","https://www.behance.net/search/projects/ui%20design?tracking_source=typeahead_search_direct","Cool Cat's | Brand identity | Coffee Shop","https://mir-s3-cdn-cf.behance.net/projects/404/956e70227587773.Y3JvcCwxMzgwLDEwODAsMTAsMA.png"
"1772174255-5","https://www.behance.net/search/projects/ui%20design?tracking_source=typeahead_search_direct","Business Analytics Dashboard UI/UX","https://mir-s3-cdn-cf.behance.net/projects/404/b0c071243719385.Y3JvcCw0MDE0LDMxMzksOTE0LDE2OA.png"
"1772174255-6","https://www.behance.net/search/projects/ui%20design?tracking_source=typeahead_search_direct","FInly | AI Powered Fintech App | UI UX | Potential","https://mir-s3-cdn-cf.behance.net/projects/404/07e0b4227273343.Y3JvcCwxNjE2LDEyNjQsMCww.jpg"
"1772174255-7","https://www.behance.net/search/projects/ui%20design?tracking_source=typeahead_search_direct","Cryptocurrency Airline Ticket Booking Website","https://mir-s3-cdn-cf.behance.net/projects/404/f2844e221272759.Y3JvcCwxNjE2LDEyNjQsMCww.png"
"1772174255-8","https://www.behance.net/search/projects/ui%20design?tracking_source=typeahead_search_direct","Frentix - Fintech Mobile Wallet App | UI/UX Case study","https://mir-s3-cdn-cf.behance.net/projects/404/c0f5f8241462847.Y3JvcCwxNjE2LDEyNjQsMCww.png"
"1772174255-9","https://www.behance.net/search/projects/ui%20design?tracking_source=typeahead_search_direct","Brawl Stars UI/UX 2025","https://mir-s3-cdn-cf.behance.net/projects/404/2d0378239453593.Y3JvcCwyMDY1LDE2MTUsMzY4LDUx.jpg"
"1772174255-10","https://www.behance.net/search/projects/ui%20design?tracking_source=typeahead_search_direct","Toyoko Inn","https://mir-s3-cdn-cf.behance.net/projects/404/18a8aa244329859.Y3JvcCwyNjg0LDIxMDAsNTksMA.png"
"1772174255-11","https://www.behance.net/search/projects/ui%20design?tracking_source=typeahead_search_direct","RIMOWA LONGEVITY","https://mir-s3-cdn-cf.behance.net/projects/404/a07e06243012595.Y3JvcCwzMDU1LDIzOTAsMzEwLDEwNQ.png"
