web_scraper_order,web_scraper_start_url,title,image2
"1772174336-1","https://dribbble.com/","E-Com Mobile iOS App Design","https://cdn.dribbble.com/userupload/46888654/file/still-a6f9de6a4ea59ae05a3b21181e18a1b6.png?format=webp&resize=800x600&vertical=center"
"1772174336-2","https://dribbble.com/","Playlist by Creatives","https://cdn.dribbble.com/userupload/46888033/file/1d412d53fae02fd94f6967008c4b0f6d.png?format=webp&resize=1200x900&vertical=center"
"1772174336-3","https://dribbble.com/","Presentation  Data","https://cdn.dribbble.com/userupload/46887648/file/still-2fdd9fdbf04c9cc7dce13887e297b5eb.png?format=webp&resize=1200x900&vertical=center"
"1772174336-4","https://dribbble.com/","Sunglasses - Mobile app","https://cdn.dribbble.com/userupload/46886861/file/2f5b539b29ce70bfbc6c185ff3ceffb8.png?format=webp&resize=1200x900&vertical=center"
"1772174336-5","https://dribbble.com/","HR Management Platform","https://cdn.dribbble.com/userupload/46883875/file/8594ee11e906f32ff347e8c2565f968b.png?format=webp&resize=1200x900&vertical=center"
"1772174336-6","https://dribbble.com/","Yakoda® Script Patch Hat","https://cdn.dribbble.com/userupload/46882404/file/b58ce11698d115176a78b29645246fd6.png?format=webp&resize=1200x900&vertical=center"
"1772174336-7","https://dribbble.com/","3D AI motion app","https://cdn.dribbble.com/userupload/46882294/file/still-99edbe42510c86f8f1fdd08a6cac80b7.png?format=webp&resize=1200x900&vertical=center"
"1772174336-8","https://dribbble.com/","Website Redesign for Fintech SaaS Company","https://cdn.dribbble.com/userupload/46881744/file/still-c45201fa7a5f949bae73289cd3254521.png?format=webp&resize=1200x900&vertical=center"
"1772174336-9","https://dribbble.com/","Modern Banking Experience Brand Grid","https://cdn.dribbble.com/userupload/46809643/file/269f617e08eb5ae4ddecd2b1fc281986.jpg?format=webp&resize=1200x900&vertical=center"
"1772174336-10","https://dribbble.com/","Modern Art Museum Website Design","https://cdn.dribbble.com/userupload/46880875/file/f5c99c24e570719d283cedf7e4add890.png?format=webp&resize=1200x900&vertical=center"
