web_scraper_order,web_scraper_start_url,data,image
"1772174703-1","https://www.framer.com/gallery/categories/new/","Digital Saints","https://framerusercontent.com/images/HO2zGjvp4AwQneM8yvOA9MLke8c.jpg?width=2400&height=4264"
"1772174703-2","https://www.framer.com/gallery/categories/new/","Belle Duffner","https://framerusercontent.com/images/l6vTL91hIiYl6gKamggc1nlynGA.jpg?width=2400&height=4264"
"1772174703-3","https://www.framer.com/gallery/categories/new/","Fearn","https://framerusercontent.com/images/rwPmpow7lvCWTQwYfPPWD1yY1TE.jpg?width=2400&height=4264"
"1772174703-4","https://www.framer.com/gallery/categories/new/","Base39","https://framerusercontent.com/images/kZVdRp5yl9SC0n4mm4NMx08EOKo.jpg?width=2400&height=4264"
"1772174703-5","https://www.framer.com/gallery/categories/new/","GAA Design Studio","https://framerusercontent.com/images/Omzu2GzHLBfbOoCf1SRjiLTpVqM.jpg?width=2400&height=4264"
"1772174703-6","https://www.framer.com/gallery/categories/new/","Fixa ADHD Planner","https://framerusercontent.com/images/iXzMaI4J6LS7RFJUPL0137YL4xM.jpg?width=1200&height=2132"
"1772174703-7","https://www.framer.com/gallery/categories/new/","Zapatero.tv","https://framerusercontent.com/images/ovJDtKuSq4mdA5a5SKwjxdsCkBE.jpg?width=1200&height=2132"
"1772174703-8","https://www.framer.com/gallery/categories/new/","Bajgart Design Office","https://framerusercontent.com/images/DqmZkhA0ErQPutVIKyZlLZ2nmU.jpg?width=1200&height=2132"
"1772174703-9","https://www.framer.com/gallery/categories/new/","Atta","https://framerusercontent.com/images/jXIhraZBXOd2wrwdWuZD0rwc.png?width=2400&height=4264"
"1772174703-10","https://www.framer.com/gallery/categories/new/","Halaska Studio","https://framerusercontent.com/images/PlOYR3mbGKnTxaWysbBqJdB7bDY.png?width=1268&height=2248"
"1772174703-11","https://www.framer.com/gallery/categories/new/","Pixelums","https://framerusercontent.com/images/s2lhpgDoZInyl7LJap5mWwUvL0I.jpg?width=2142&height=3806"
"1772174703-12","https://www.framer.com/gallery/categories/new/","Jackie Zhang","https://framerusercontent.com/images/KoiLutVVkyhG83RzhUmboRaSE0A.jpg?width=2359&height=4264"
"1772174703-13","https://www.framer.com/gallery/categories/new/","Chi Quach","https://framerusercontent.com/images/GjShgBJRAAPaVpC5afTPFA9mFY.jpg?width=1204&height=2136"
"1772174703-14","https://www.framer.com/gallery/categories/new/","A Love Story","https://framerusercontent.com/images/2jgtri7AIdU8JZwOnFwaWlyfRQ.jpg?width=1200&height=2132"
"1772174703-15","https://www.framer.com/gallery/categories/new/","Oakline Studio","https://framerusercontent.com/images/hzjulIwjvlz5ejc8F64AGNOnmpg.jpg?width=2400&height=4264"
"1772174703-16","https://www.framer.com/gallery/categories/new/","Tinywins x Joby — Case Study","https://framerusercontent.com/images/8of9cHOs7UaOQaT538paXfGAQOA.jpg?width=1200&height=2132"
"1772174703-17","https://www.framer.com/gallery/categories/new/","Poch Studio","https://framerusercontent.com/images/dhmgbfVuD9dSvYOc0zZZbptQcEI.jpg?width=2400&height=4264"
"1772174703-18","https://www.framer.com/gallery/categories/new/","Mason Wong","https://framerusercontent.com/images/BWwQLPHy1AfUpTAb8VjSI4LAQhE.jpg?width=1200&height=2132"
"1772174703-19","https://www.framer.com/gallery/categories/new/","Lorenzo Cabra","https://framerusercontent.com/images/Y2BV97iAfgVihWgYPy8f9Qrvoo.jpg?width=1342&height=2384"
"1772174703-20","https://www.framer.com/gallery/categories/new/","Good Habit","https://framerusercontent.com/images/l9Myu6KQ1JiV0JhuiIp2GUkeG0.jpg?width=1384&height=2454"
"1772174703-21","https://www.framer.com/gallery/categories/new/","Vogelhaus","https://framerusercontent.com/images/ojF7A3MwdnsHhMs2pPxgx7sM.jpg?width=2400&height=4210"
"1772174703-22","https://www.framer.com/gallery/categories/new/","Numenu","https://framerusercontent.com/images/puJysWC2AHa5sbIJJiLBavJ1pWI.jpg?width=1200&height=2132"
"1772174703-23","https://www.framer.com/gallery/categories/new/","Aurelien Liguori","https://framerusercontent.com/images/i3HvlgR8xJwSOZsXUtu2RN1Kdbw.jpg?width=1236&height=2192"
"1772174703-24","https://www.framer.com/gallery/categories/new/","startups.gallery","https://framerusercontent.com/images/cOEqEqHhbF9vRqF5siIcXg4c53Y.jpg?width=2400&height=4264"
