web_scraper_order,web_scraper_start_url,data,image
"1772215462-1","https://onepagelove.com/inspiration","Addy","https://assets.onepagelove.com/cdn-cgi/image/width=780,height=1040,fit=cover,gravity=top,format=jpg,quality=85/wp-content/uploads/2026/02/opl-master-12.jpg"
"1772215462-2","https://onepagelove.com/inspiration","Poch Studio","https://assets.onepagelove.com/cdn-cgi/image/width=780,height=1040,fit=cover,gravity=top,format=jpg,quality=85/wp-content/uploads/2026/02/opl-master-poch.jpg"
"1772215462-3","https://onepagelove.com/inspiration","Webflow – where creativity drives performance ✨","https://assets.onepagelove.com/cdn-cgi/image/width=780,height=1040,fit=cover,gravity=top,format=jpg,quality=85/wp-content/uploads/2025/11/wf-creativity.jpeg"
"1772215462-4","https://onepagelove.com/inspiration","TAB Kitchen & Bakery","https://assets.onepagelove.com/cdn-cgi/image/width=780,height=1040,fit=cover,gravity=top,format=jpg,quality=85/wp-content/uploads/2026/02/opl-master-bakery.jpg"
"1772215462-5","https://onepagelove.com/inspiration","Tenbin Labs","https://assets.onepagelove.com/cdn-cgi/image/width=780,height=1040,fit=cover,gravity=top,format=jpg,quality=85/wp-content/uploads/2026/02/opl-master-10.jpg"
"1772215462-6","https://onepagelove.com/inspiration","Shiori","https://assets.onepagelove.com/cdn-cgi/image/width=780,height=1040,fit=cover,gravity=top,format=jpg,quality=85/wp-content/uploads/2026/02/opl-master-9.jpg"
"1772215462-7","https://onepagelove.com/inspiration","Whilst","https://assets.onepagelove.com/cdn-cgi/image/width=780,height=412,fit=cover,gravity=top,format=jpg,quality=85/wp-content/uploads/2026/02/opl-master-whilst.jpg"
"1772215462-8","https://onepagelove.com/inspiration","Expo Agent","https://assets.onepagelove.com/cdn-cgi/image/width=780,height=412,fit=cover,gravity=top,format=jpg,quality=85/wp-content/uploads/2026/02/opl-master-expo.jpg"
"1772215462-9","https://onepagelove.com/inspiration","The Cozy Hollow","https://assets.onepagelove.com/cdn-cgi/image/width=780,height=1040,fit=cover,gravity=top,format=jpg,quality=85/wp-content/uploads/2026/02/opl-master-thecozyhollow.jpg"
"1772215462-10","https://onepagelove.com/inspiration","Unseen Studio 2025","https://assets.onepagelove.com/cdn-cgi/image/width=780,height=1040,fit=cover,gravity=top,format=jpg,quality=85/wp-content/uploads/2026/02/opl-master-unseen.jpg"
"1772215462-11","https://onepagelove.com/inspiration","Bradford","https://assets.onepagelove.com/cdn-cgi/image/width=780,height=1040,fit=cover,gravity=top,format=jpg,quality=85/wp-content/uploads/2026/02/opl-master-8.jpg"
"1772215462-12","https://onepagelove.com/inspiration","Bajgart Office","https://assets.onepagelove.com/cdn-cgi/image/width=780,height=1040,fit=cover,gravity=top,format=jpg,quality=85/wp-content/uploads/2026/02/opl-master-7.jpg"
"1772215462-13","https://onepagelove.com/inspiration","App&Flow","https://assets.onepagelove.com/cdn-cgi/image/width=780,height=1040,fit=cover,gravity=top,format=jpg,quality=85/wp-content/uploads/2026/02/opl-master-app-flow.jpg"
"1772215462-14","https://onepagelove.com/inspiration","VOID","https://assets.onepagelove.com/cdn-cgi/image/width=780,height=1040,fit=cover,gravity=top,format=jpg,quality=85/wp-content/uploads/2026/02/opl-master-void.jpg"
"1772215462-15","https://onepagelove.com/inspiration","Magnet Lover","https://assets.onepagelove.com/cdn-cgi/image/width=780,height=1040,fit=cover,gravity=top,format=jpg,quality=85/wp-content/uploads/2026/02/opl-master-5.jpg"
"1772215462-16","https://onepagelove.com/inspiration","Joi Planner","https://assets.onepagelove.com/cdn-cgi/image/width=780,height=1040,fit=cover,gravity=top,format=jpg,quality=85/wp-content/uploads/2026/02/opl-master-4.jpg"
"1772215462-17","https://onepagelove.com/inspiration","Droplist","https://assets.onepagelove.com/cdn-cgi/image/width=780,height=1040,fit=cover,gravity=top,format=jpg,quality=85/wp-content/uploads/2026/02/opl-master-3.jpg"
